Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,139,1,2014-04-20,MIA,,CHA,W 99-88,*,38:32,8,16,.500,4,8,.500,4,8,.500,.625,7,10,.700,0,9,9,1,0,0,3,1,27,17.8,0
2,140,2,2014-04-23,MIA,,CHA,W 101-97,*,39:50,11,17,.647,1,5,.200,10,12,.833,.676,9,12,.750,0,6,6,8,4,0,4,2,32,29.9,6
3,141,3,2014-04-26,MIA,@,CHA,W 98-85,*,35:59,10,18,.556,1,2,.500,9,16,.563,.583,9,10,.900,0,10,10,6,2,0,2,1,30,27.8,20
4,142,4,2014-04-28,MIA,@,CHA,W 109-98,*,42:54,10,19,.526,1,5,.200,9,14,.643,.553,10,12,.833,0,7,7,9,3,1,2,3,31,29.8,12
5,143,5,2014-05-06,MIA,,BRK,W 107-86,*,36:21,10,15,.667,0,0,,10,15,.667,.667,2,2,1.000,1,4,5,3,0,0,1,2,22,17.7,10
6,144,6,2014-05-08,MIA,,BRK,W 94-82,*,39:07,9,18,.500,0,3,.000,9,15,.600,.500,4,6,.667,0,4,4,3,2,1,2,2,22,15.4,6
7,145,7,2014-05-10,MIA,@,BRK,L 90-104,*,39:39,8,15,.533,3,7,.429,5,8,.625,.633,9,10,.900,0,8,8,5,1,1,2,2,28,25.1,-14
8,146,8,2014-05-12,MIA,@,BRK,W 102-96,*,43:28,16,24,.667,3,6,.500,13,18,.722,.729,14,19,.737,0,6,6,2,3,0,1,5,49,39.8,13
9,147,9,2014-05-14,MIA,,BRK,W 96-94,*,43:36,6,14,.429,2,5,.400,4,9,.444,.500,15,17,.882,2,7,9,5,0,1,5,1,29,23.1,4
10,148,10,2014-05-18,MIA,@,IND,L 96-107,*,40:50,11,18,.611,1,5,.200,10,13,.769,.639,2,2,1.000,1,9,10,5,3,0,4,3,25,21.5,-13
11,149,11,2014-05-20,MIA,@,IND,W 87-83,*,42:21,9,18,.500,1,5,.200,8,13,.615,.528,3,6,.500,0,7,7,6,2,3,3,3,22,18.0,4
12,150,12,2014-05-24,MIA,,IND,W 99-87,*,39:46,9,14,.643,1,2,.500,8,12,.667,.679,7,9,.778,1,4,5,7,3,0,6,2,26,22.0,24
13,151,13,2014-05-26,MIA,,IND,W 102-90,*,35:48,13,21,.619,2,3,.667,11,18,.611,.667,4,4,1.000,0,10,10,5,2,0,2,3,32,27.8,10
14,152,14,2014-05-28,MIA,@,IND,L 90-93,*,24:21,2,10,.200,1,3,.333,1,7,.143,.250,2,3,.667,1,1,2,4,0,1,3,5,7,-0.1,1
15,153,15,2014-05-30,MIA,,IND,W 117-92,*,31:39,8,12,.667,0,0,,8,12,.667,.667,9,9,1.000,1,3,4,6,1,1,2,1,25,24.9,27
16,154,16,2014-06-05,MIA,@,SAS,L 95-110,*,32:53,9,17,.529,2,3,.667,7,14,.500,.588,5,6,.833,3,3,6,3,3,0,4,1,25,20.0,0
17,155,17,2014-06-08,MIA,@,SAS,W 98-96,*,37:36,14,22,.636,3,3,1.000,11,19,.579,.705,4,5,.800,2,8,10,3,2,0,4,3,35,27.5,11
18,156,18,2014-06-10,MIA,,SAS,L 92-111,*,39:49,9,14,.643,2,4,.500,7,10,.700,.714,2,3,.667,1,4,5,7,5,0,7,5,22,18.2,-21
19,157,19,2014-06-12,MIA,,SAS,L 86-107,*,37:39,10,17,.588,4,8,.500,6,9,.667,.706,4,6,.667,0,8,8,2,0,0,3,0,28,20.1,-21
20,158,20,2014-06-15,MIA,@,SAS,L 87-104,*,41:16,10,21,.476,3,9,.333,7,12,.583,.548,8,9,.889,1,9,10,5,0,2,1,1,31,26.8,-16
